"data_type","cruise_id","profile_id","sample_id","sample_min_depth","sample_max_depth","profile_depth_min","profile_depth_max","profile_date_time","cast_net_op_m2","subsample_id","sample_segment_length","subsample_count_type","subsample_size_fraction_min","subsample_size_fraction_max","site_lat_start_decimal","site_lon_start_decimal","sample_volume_filtered","subsample_all_shells_present_were_counted","total_of_forams_counted_ind","sampling_device_type","site_id","cast_id","sample_sst","b_digitata_VT","b_pumilio_VT","b_variabilis_VT","c_nitida_VT","d_anfracta_VT","g_adamsi_VT","g_bulloides_VT","g_calida_VT","g_cavernula_VT","g_conglobatus_VT","g_conglomerata_VT","g_crassaformis_VT","g_elongatus_VT","g_falconensis_VT","g_glutinata_VT","g_hexagona_VT","g_hirsuta_VT","g_inflata_VT","g_cultrata_VT","g_minuta_VT","g_ruber_albus_VT","g_ruber_albus_or_elongatus_VT","g_ruber_any_VT","g_ruber_ruber_VT","g_rubescens_VT","g_scitula_VT","g_siphonifera_VT","g_tenellus_VT","g_theyeri_VT","g_truncatulinoides_VT","g_truncatulinoides_left_VT","g_truncatulinoides_right_VT","g_tumida_VT","g_ungulata_VT","g_uvula_VT","n_vivans_VT","h_digitata_VT","h_pelagica_VT","n_dutertrei_VT","n_incompta_VT","n_pachyderma_VT","n_pachyderma_incompta_VT","o_riedeli_VT","o_universa_VT","p_obliquiloculata_VT","s_dehiscens_VT","t_clarkei_VT","t_fleisheri_VT","t_humilis_VT","t_iota_VT","t_parkerae_VT","t_quinqueloba_VT","t_sacculifer_VT","t_sacculifer_no_sac_VT","t_sacculifer_sac_VT","UnID_VT","h_digitata_LT","s_dehiscens_LT","t_iota_LT","ungulata","uvula","vivans"
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_29_1","ATLANTIS_II_cruise49-29",0,86,0,86,"01/06/1969",0.75,"ATLANTIS_II_cruise49-29",NA,"Relative",158,NA,40.9,10.6,64.5,1,118,"Net","ATLANTIS_II_cruise49_29","ATLANTIS_II_cruise49_29_1",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,40,0,0,16,0,0,0,0,0,0,0,5,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_3_1","ATLANTIS_II_cruise49-3",0,125,0,125,"01/06/1969",0.75,"ATLANTIS_II_cruise49-3",NA,"Relative",158,NA,34.2,27.85,93.75,1,159,"Net","ATLANTIS_II_cruise49_3","ATLANTIS_II_cruise49_3_1",19,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,42,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_30_1","ATLANTIS_II_cruise49-30",0,118,0,118,"01/06/1969",0.75,"ATLANTIS_II_cruise49-30",NA,"Relative",158,NA,41.1,8.65,88.5,1,622,"Net","ATLANTIS_II_cruise49_30","ATLANTIS_II_cruise49_30_1",18,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.5,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0.5,0,2,0,0,0,4,0,0,0,0,0,0,0,54,0,3,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_31_1","ATLANTIS_II_cruise49-31",0,136,0,136,"01/06/1969",0.75,"ATLANTIS_II_cruise49-31",NA,"Relative",158,NA,41.1,8.1,102,1,111,"Net","ATLANTIS_II_cruise49_31","ATLANTIS_II_cruise49_31_1",19,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,0,0,0,0,51,0,2,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_32_1","ATLANTIS_II_cruise49-32",0,165,0,165,"01/06/1969",0.75,"ATLANTIS_II_cruise49-32",NA,"Relative",158,NA,41.2,7.6,123.75,1,96,"Net","ATLANTIS_II_cruise49_32","ATLANTIS_II_cruise49_32_1",19,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,11,0,0,11,0,0,0,0,0,0,0,2,0,7,0,0,0,15,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_33_1","ATLANTIS_II_cruise49-33",0,171,0,171,"01/06/1969",0.75,"ATLANTIS_II_cruise49-33",NA,"Relative",158,NA,40.2,7,128.25,1,85,"Net","ATLANTIS_II_cruise49_33","ATLANTIS_II_cruise49_33_1",19,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,12,0,0,7,0,0,0,0,0,0,0,1,0,7,0,0,0,19,0,0,0,0,0,0,0,14,0,9,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_34_1","ATLANTIS_II_cruise49-34",0,175,0,175,"01/06/1969",0.75,"ATLANTIS_II_cruise49-34",NA,"Relative",158,NA,39.7,6.6,131.25,1,61,"Net","ATLANTIS_II_cruise49_34","ATLANTIS_II_cruise49_34_1",19,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,8,0,0,0,25,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_35_1","ATLANTIS_II_cruise49-35",0,180,0,180,"01/06/1969",0.75,"ATLANTIS_II_cruise49-35",NA,"Relative",158,NA,39.05,5.75,135,1,716,"Net","ATLANTIS_II_cruise49_35","ATLANTIS_II_cruise49_35_1",19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0.5,0,0,0,18,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0,0,0,4,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_36_1","ATLANTIS_II_cruise49-36",0,185,0,185,"01/06/1969",0.75,"ATLANTIS_II_cruise49-36",NA,"Relative",158,NA,38.9,5.25,138.75,1,182,"Net","ATLANTIS_II_cruise49_36","ATLANTIS_II_cruise49_36_1",19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,3,0,0,0,66,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_40_1","ATLANTIS_II_cruise49-40",0,94,0,94,"01/06/1969",0.75,"ATLANTIS_II_cruise49-40",NA,"Relative",158,NA,37.8,2,70.5,1,305,"Net","ATLANTIS_II_cruise49_40","ATLANTIS_II_cruise49_40_1",19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,23,0.5,0,0,0,8,0,0,0,33,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,13,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_41_1","ATLANTIS_II_cruise49-41",0,73,0,73,"01/06/1969",0.75,"ATLANTIS_II_cruise49-41",NA,"Relative",158,NA,37.75,1.9,54.75,1,286,"Net","ATLANTIS_II_cruise49_41","ATLANTIS_II_cruise49_41_1",19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,39,0,0,0,0,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_42_1","ATLANTIS_II_cruise49-42",0,161,0,161,"01/06/1969",0.75,"ATLANTIS_II_cruise49-42",NA,"Relative",158,NA,37.2,0.6,120.75,1,155,"Net","ATLANTIS_II_cruise49_42","ATLANTIS_II_cruise49_42_1",19,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,19,0,0,0,0,0,0,0,0.5,0,6,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_44_1","ATLANTIS_II_cruise49-44",0,215,0,215,"01/06/1969",0.75,"ATLANTIS_II_cruise49-44",NA,"Relative",158,NA,36.5,-0.7,161.25,1,249,"Net","ATLANTIS_II_cruise49_44","ATLANTIS_II_cruise49_44_1",19,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,38,0,0,0,0,3,0,0,0.5,33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0.5,0,5,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_45_1","ATLANTIS_II_cruise49-45",0,118,0,118,"01/06/1969",0.75,"ATLANTIS_II_cruise49-45",NA,"Relative",158,NA,36.4,-1.5,88.5,1,696,"Net","ATLANTIS_II_cruise49_45","ATLANTIS_II_cruise49_45_1",19,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,45,0,0,0,0,2,0,0,0.5,22,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_46_1","ATLANTIS_II_cruise49-46",0,102,0,102,"01/06/1969",0.75,"ATLANTIS_II_cruise49-46",NA,"Relative",158,NA,36.2,-2.4,76.5,1,435,"Net","ATLANTIS_II_cruise49_46","ATLANTIS_II_cruise49_46_1",19,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,25,0.5,0,0,0,7,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_47_1","ATLANTIS_II_cruise49-47",0,217,0,217,"01/06/1969",0.75,"ATLANTIS_II_cruise49-47",NA,"Relative",158,NA,36.1,-3.8,162.75,1,391,"Net","ATLANTIS_II_cruise49_47","ATLANTIS_II_cruise49_47_1",19,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,3,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_48_1","ATLANTIS_II_cruise49-48",0,154,0,154,"01/06/1969",0.75,"ATLANTIS_II_cruise49-48",NA,"Relative",158,NA,36,-4,115.5,1,784,"Net","ATLANTIS_II_cruise49_48","ATLANTIS_II_cruise49_48_1",19,0,0,0,0,0,0,54,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_49_1","ATLANTIS_II_cruise49-49",0,154,0,154,"01/06/1969",0.75,"ATLANTIS_II_cruise49-49",NA,"Relative",158,NA,35.85,-5.25,115.5,1,404,"Net","ATLANTIS_II_cruise49_49","ATLANTIS_II_cruise49_49_1",18,0,0,0,0,0,0,57,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,6,0,0,0.5,11,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,0,0,0,2,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_6_1","ATLANTIS_II_cruise49-6",0,217,0,217,"01/06/1969",0.75,"ATLANTIS_II_cruise49-6",NA,"Relative",158,NA,34,25.85,162.75,1,185,"Net","ATLANTIS_II_cruise49_6","ATLANTIS_II_cruise49_6_1",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0.5,0,0,0,66,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_7_1","ATLANTIS_II_cruise49-7",0,125,0,125,"01/06/1969",0.75,"ATLANTIS_II_cruise49-7",NA,"Relative",158,NA,34,24.6,93.75,1,115,"Net","ATLANTIS_II_cruise49_7","ATLANTIS_II_cruise49_7_1",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,42,0,0,0,0,10,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,NA,NA,NA
"Net","ATLANTIS_II_cruise49","ATLANTIS_II_cruise49_8_1","ATLANTIS_II_cruise49-8",0,86,0,86,"01/06/1969",0.75,"ATLANTIS_II_cruise49-8",NA,"Relative",158,NA,33.9,23.5,64.5,1,109,"Net","ATLANTIS_II_cruise49_8","ATLANTIS_II_cruise49_8_1",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_10_1","L20_10_1",0,20,0,300,"09/04/1979",NA,"L20_10_1",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_10_1",NA,0,0,0,0,0,0,94,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,15,0,0,0,48,0,0,42,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_10_1","L20_10_2",20,100,0,300,"09/04/1979",NA,"L20_10_2",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_10_2",NA,0,0,0,0,0,0,11,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0,4,0,0,0,60,0,0,88,0,0,0,0,0,0,0,23,11,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_10_1","L20_10_3",100,200,0,300,"09/04/1979",NA,"L20_10_3",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_10_3",NA,0,0,0,0,0,0,11,0,0,0,0,0,0,6,1,0,0,4,0,0,0,0,0,0,0,0,36,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_10_1","L20_10_4",200,300,0,300,"09/04/1979",NA,"L20_10_4",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_10_4",NA,0,0,0,0,0,0,16,0,0,0,0,0,0,11,3,0,0,1,0,0,0,0,11,0,0,0,31,0,0,269,0,0,0,0,0,0,0,14,10,0,0,0,0,2,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_11_1","L20_11_1",0,20,0,300,"23/05/1979",NA,"L20_11_1",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_11_1",NA,0,0,0,0,0,0,15,0,0,0,0,0,0,1,15,0,0,2,0,0,0,0,1,0,0,0,4,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_11_1","L20_11_2",20,100,0,300,"23/05/1979",NA,"L20_11_2",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_11_2",NA,0,0,0,0,0,0,13,0,0,0,0,0,0,14,4,0,0,5,0,0,0,0,1,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_11_1","L20_11_3",100,200,0,300,"23/05/1979",NA,"L20_11_3",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_11_3",NA,0,0,0,0,0,0,37,0,0,0,0,0,0,23,30,0,0,12,0,0,0,0,2,0,0,0,3,0,0,33,0,0,0,0,0,0,0,9,5,0,0,0,0,5,0,0,0,0,0,0,0,39,0,1,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_11_1","L20_11_4",200,300,0,300,"23/05/1979",NA,"L20_11_4",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_11_4",NA,0,0,0,0,0,0,7,0,0,0,0,0,0,5,5,0,0,2,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_12_1","L20_12_1",0,20,0,300,"06/06/1979",NA,"L20_12_1",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_12_1",NA,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_12_1","L20_12_2",20,100,0,300,"06/06/1979",NA,"L20_12_2",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_12_2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,NA,NA,NA
"Net","RinaldoDohrn","L20_RinaldoDohrn_12_1","L20_12_3",100,200,0,300,"06/06/1979",NA,"L20_12_3",NA,"Raw",116,NA,40.7,15.08,1000,1,NA,"Net","L20","L20_RinaldoDohrn_12_3",NA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,NA,NA,NA
